season,week,player,team,position,team_dropbacks,routes,route_pct,targets
2026,2,Alvin Kamara,NO,RB,39,11.3,0.29,0
2026,2,Barion Brown,NO,WR,39,1.2,0.03,0
2026,2,Bryce Lance,NO,WR,39,30.8,0.79,0
2026,2,CJ Donaldson,NO,RB,39,11.3,0.29,0
2026,2,Chris Olave,NO,WR,39,32.8,0.84,0
2026,2,Devaughn Vele,NO,WR,39,37.4,0.96,0
2026,2,Juwan Johnson,NO,TE,39,20.7,0.53,0
2026,2,Kevin Austin,NO,WR,39,2.7,0.07,0
2026,2,Noah Fant,NO,TE,39,17.2,0.44,0
2026,2,Oscar Delp,NO,TE,39,5.1,0.13,0
2026,2,Travis Etienne,NO,RB,39,21.1,0.54,0
2026,2,Treyton Welch,NO,TE,39,2.7,0.07,0
2026,2,Tyler Shough,NO,QB,39,39.0,1.0,0
2026,2,Braxton Berrios,NYG,WR,34,3.1,0.09,0
2026,2,Cam Skattebo,NYG,RB,34,20.1,0.59,0
2026,2,Chris Manhertz,NYG,TE,34,10.5,0.31,0
2026,2,Darnell Mooney,NYG,WR,34,24.5,0.72,0
2026,2,Devin Singletary,NYG,RB,34,8.8,0.26,0
2026,2,Isaiah Likely,NYG,TE,34,23.5,0.69,0
2026,2,Jameis Winston,NYG,QB,34,29.9,0.88,0
2026,2,Jaxson Dart,NYG,QB,34,4.1,0.12,0
2026,2,Malachi Fields,NYG,WR,34,27.5,0.81,0
2026,2,Malik Nabers,NYG,WR,34,25.2,0.74,0
2026,2,Najee Harris,NYG,RB,34,4.8,0.14,0
2026,2,Odell Beckham Jr.,NYG,WR,34,1.7,0.05,0
2026,2,Patrick Ricard,NYG,FB,34,10.5,0.31,0
2026,2,Theo Johnson,NYG,TE,34,9.5,0.28,0
2026,2,Tyrone Tracy Jr.,NYG,RB,34,0.7,0.02,0
2026,2,Adonai Mitchell,NYJ,WR,49,40.2,0.82,0
2026,2,Andrew Beck,NYJ,FB,49,2.5,0.05,0
2026,2,Arian Smith,NYJ,WR,49,0.5,0.01,0
2026,2,Braelon Allen,NYJ,RB,49,15.2,0.31,0
2026,2,Breece Hall,NYJ,RB,49,31.9,0.65,0
2026,2,Garrett Wilson,NYJ,WR,49,43.1,0.88,0
2026,2,Geno Smith,NYJ,QB,49,49.0,1.0,0
2026,2,Isaiah Davis,NYJ,RB,49,0.0,0.0,0
2026,2,Isaiah Williams,NYJ,WR,49,40.2,0.82,0
2026,2,Jelani Woods,NYJ,TE,49,13.7,0.28,0
2026,2,Jeremy Ruckert,NYJ,TE,49,16.7,0.34,0
2026,2,Kenyon Sadiq,NYJ,TE,49,17.6,0.36,0
2026,2,Mason Taylor,NYJ,TE,49,22.5,0.46,0
2026,2,Britain Covey,PHI,WR,42,0.0,0.0,0
2026,2,Dallas Goedert,PHI,TE,42,10.5,0.25,0
2026,2,Darius Cooper,PHI,WR,42,17.2,0.41,0
2026,2,DeVonta Smith,PHI,WR,42,37.0,0.88,0
2026,2,Dontayvion Wicks,PHI,WR,42,26.0,0.62,0
2026,2,E.J. Jenkins,PHI,TE,42,13.9,0.33,0
2026,2,Jalen Hurts,PHI,QB,42,42.0,1.0,0
2026,2,Johnny Mundt,PHI,TE,42,26.9,0.64,0
2026,2,Makai Lemon,PHI,WR,42,26.5,0.63,0
2026,2,Marquise Brown,PHI,WR,42,9.2,0.22,0
2026,2,Saquon Barkley,PHI,RB,42,6.7,0.16,0
2026,2,Tank Bigsby,PHI,RB,42,14.3,0.34,0
2026,2,Will Shipley,PHI,RB,42,21.4,0.51,0
2026,2,Aaron Rodgers,PIT,QB,46,44.2,0.96,0
2026,2,Ben Skowronek,PIT,WR,46,9.7,0.21,0
2026,2,D.K. Metcalf,PIT,WR,46,44.6,0.97,0
2026,2,Darnell Washington,PIT,TE,46,24.4,0.53,0
2026,2,Eli Heidenreich,PIT,RB,46,0.0,0.0,0
2026,2,Germie Bernard,PIT,WR,46,36.3,0.79,0
