article_id,source,headline,description,published,web_url,athlete_ids,team_ids,pulled_at
602d0b28-e6be-3d2e-880d-93d1a90dda41,yahoo_rss,No. 1 Texas vs. UTSA live updates: Cam Coleman’s second TD catch makes it 17-3,Cam Coleman is having himself a day for the Horns.,"Sat, 19 Sep 2026 23:21:17 +0000",https://sports.yahoo.com/articles/no-1-texas-vs-utsa-232117449.html,,,2026-09-20T01:03:58Z
92dfef26-d962-3829-8eec-786b4b1a4425,yahoo_rss,Starting Patriots defender ruled out of Steelers Week 2 matchup,The Patriots will be without a ninth-year veteran when the Steelers roll into Foxborough.,"Sat, 19 Sep 2026 23:17:02 +0000",https://sports.yahoo.com/articles/starting-patriots-defender-ruled-steelers-231702829.html,,,2026-09-20T01:03:58Z
05e852d6-0c50-3626-96a4-be281f7e54f8,yahoo_rss,"What the Seahawks need less of, more of in Week 2 vs. Cardinals","Unsung heroes, character arcs and occasional individual fails.","Sat, 19 Sep 2026 23:08:52 +0000",https://sports.yahoo.com/articles/seahawks-less-more-week-2-230852360.html,,,2026-09-20T01:03:58Z
41c63855-d337-3def-bd4c-a4db3d48061a,yahoo_rss,Eagles vs. Titans Game Preview: 6 questions and answers with the Week 2 enemy,Opponent insight on Philadelphia’s upcoming matchup.,"Sat, 19 Sep 2026 23:03:50 +0000",https://sports.yahoo.com/articles/eagles-vs-titans-game-preview-230350258.html,,,2026-09-20T01:03:58Z
0174d740-2e02-3ae7-ae70-513638850cbb,yahoo_rss,Raiders fans are all in with the teams direction,Las Vegas Raiders fans are excited about the future with 97% believing in the teams direction,"Sat, 19 Sep 2026 23:00:00 +0000",https://sports.yahoo.com/articles/raiders-fans-teams-direction-230000067.html,,,2026-09-20T01:03:58Z
131eb205-1a73-3a05-8afb-7d998140b323,yahoo_rss,"How to watch Commanders vs Cowboys: TV, radio, streaming, injury report",Washington Commanders visit the Dallas Cowbows in Week 2!,"Sat, 19 Sep 2026 23:00:00 +0000",https://sports.yahoo.com/articles/watch-commanders-vs-cowboys-tv-230000635.html,,,2026-09-20T01:03:58Z
2bc41f46-6902-36d1-a895-1ab2b17dc0b1,yahoo_rss,Jets fan confidence surges after Week 1 victory over Titans,"Each week throughout the season, we ask Jets fans how confident they are in the team. Heading into Week 1, 63 percent of Jets fans who voted in our poll told us they were confident in the team’s direction. That is a solid number but still a tad lower than normal heading into Week 1. […]","Sat, 19 Sep 2026 23:00:00 +0000",https://sports.yahoo.com/articles/jets-fan-confidence-surges-week-230000577.html,,,2026-09-20T01:03:58Z
1c0789ed-8a55-397e-a1b8-34259aeb668b,yahoo_rss,Week 2 injury report for the Rams,The Los Angeles Rams have posted their injury report for their Week 2 matchup with the New York Giants,"Sat, 19 Sep 2026 22:53:59 +0000",https://sports.yahoo.com/articles/week-2-injury-report-rams-225359779.html,,,2026-09-20T01:03:58Z
90dc0619-e117-3d4c-a406-eb847f354890,yahoo_rss,Jaguars vs. Broncos: Staff roundtable and game picks for Week 2,Big Cat Country previews the Jaguars’ Week 2 matchup against the Broncos.,"Sat, 19 Sep 2026 22:45:00 +0000",https://sports.yahoo.com/articles/jaguars-vs-broncos-staff-roundtable-224500768.html,,,2026-09-20T01:03:58Z
64ca5838-bc29-39ff-a9d8-f85b1703ef3e,yahoo_rss,Bengals elevate Josh Johnson to active roster with Joe Burrow questionable,Bengals quarterback Joe Burrow says he plans to play tomorrow against the Texans.,"Sat, 19 Sep 2026 22:37:47 +0000",https://sports.yahoo.com/articles/bengals-elevate-josh-johnson-active-223747798.html,,,2026-09-20T01:03:58Z
